trial,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,MSE_train,MSE_test,MSE_train_uncensored,MSE_test_uncensored,RMSE_train,RMSE_test,RMSE_train_uncensored,RMSE_test_uncensored,R2_train,R2_test,R2_train_uncensored,R2_test_uncensored,MAE_train,MAE_test,MAE_train_uncensored,MAE_test_uncensored,MedianAE_train,MedianAE_test,MedianAE_train_uncensored,MedianAE_test_uncensored,PredIn90_train,PredIn90_test,PredIn90_train_uncensored,PredIn90_test_uncensored,PredIn180_train,PredIn180_test,PredIn180_train_uncensored,PredIn180_test_uncensored,PredIn360_train,PredIn360_test,PredIn360_train_uncensored,PredIn360_test_uncensored,Cindex_train,Cindex_test,Cindex_train_uncensored,Cindex_test_uncensored,test_fold,best_trial,best_value,elapsed_time,dataset,method,n_features,n_patients,processed,alpha,is_best_trial
4,,,,,,1244936.5960579435,1994093.0349932704,547397.9614173229,1002855.2371541501,1115.7672678735219,1412.1235905519284,739.8634748501394,1001.4266009818944,-4.5925205146695145,-2.0092077798426318,-2.2010180348667805,-4.2347548634675425,746.7261933032534,931.4037685060565,435.4212598425197,616.6284584980237,463.0,500.0,241.0,304.0,0.10425077178817382,0.09825033647375504,0.20393700787401575,0.11857707509881422,0.20470197102825932,0.20053835800807537,0.384251968503937,0.26877470355731226,0.40536689622417477,0.39703903095558546,0.6559055118110236,0.5691699604743083,0.6399530228405294,0.599201725057992,0.7289196887876856,0.6863539311730721,ArQ,1,0.8328345927885374,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.005417257182767969,False
0,,,,,,520479.6416975221,507777.44005544006,207605.62022900765,250003.01894736843,721.4427501177914,712.5850405779229,455.63759747084924,500.00301893825446,-1.3665845516064752,-0.08762938083384975,-0.692888878565769,0.10159840521396313,509.6194816291655,458.6042966042966,308.2290076335878,285.60842105263157,385.0,295.0,212.5,177.0,0.11933921959555682,0.1774081774081774,0.2452290076335878,0.2736842105263158,0.22728567359726573,0.3333333333333333,0.43797709923664124,0.511578947368421,0.46482483622899456,0.5738045738045738,0.7194656488549618,0.7852631578947369,0.6578166637072522,0.6317459034999634,0.7321183878495721,0.7086201070621921,IDPP,4,0.8622366921123307,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.0028952960233492846,False
1,,,,,,519855.39362005127,507713.81912681914,207671.8034351145,250029.4652631579,721.0099816369059,712.5403982419657,455.7102187082428,500.0294643950073,-1.3637461392303556,-0.08749310855047199,-0.6934285595890599,0.10150336871247789,509.26374252349757,458.6049896049896,308.3587786259542,285.60842105263157,385.0,296.0,213.0,177.0,0.11962403873540302,0.17671517671517672,0.2452290076335878,0.2736842105263158,0.22700085445741955,0.334026334026334,0.43797709923664124,0.511578947368421,0.465394474508687,0.5738045738045738,0.7194656488549618,0.7852631578947369,0.6577744250383032,0.6317680259467445,0.7321904598558925,0.7085978765405752,IDPP,4,0.8622366921123307,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.008536916958038761,False
2,,,,,,518441.0657932213,506042.1254331254,206390.34732824427,249903.84210526315,720.0285173472099,711.3663791838391,454.3020441603188,499.90383285714375,-1.3573152894569303,-0.08391243908075818,-0.6829791180503493,0.10195480344262597,508.35488464824834,457.8537768537769,307.912213740458,285.5389473684211,383.0,296.0,213.5,177.0,0.11990885787524921,0.176022176022176,0.2452290076335878,0.2736842105263158,0.22757049273711194,0.334026334026334,0.43797709923664124,0.5073684210526316,0.4662489319282256,0.5724185724185724,0.7185114503816794,0.7810526315789473,0.6577970877087586,0.6327452609871613,0.7310820106447616,0.7086201070621921,IDPP,4,0.8622366921123307,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.053432271255941216,False
3,,,,,,518141.8293933352,502622.9785169785,206353.55248091603,249884.1157894737,719.820692529282,708.9590809891488,454.2615463374773,499.8841023572101,-1.3559546824619306,-0.07658882769112485,-0.6826790799889431,0.10202569120085836,508.16491028197095,456.46153846153845,307.91507633587787,285.54315789473685,383.0,296.0,213.5,177.0,0.11990885787524921,0.17671517671517672,0.2452290076335878,0.27578947368421053,0.22785531187695812,0.334026334026334,0.43797709923664124,0.5073684210526316,0.46653375106807177,0.5731115731115731,0.7185114503816794,0.7810526315789473,0.6578862762828087,0.6339413158816084,0.731088396771904,0.7086067687492219,IDPP,4,0.8622366921123307,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.09634681692624379,False
4,,,,,,516833.2415266306,502150.0602910603,206291.16221374046,249588.73263157895,718.9111499529205,708.6254725107335,454.19286895958686,499.5885633514632,-1.3500046248964463,-0.07557586469461142,-0.6821703279170301,0.10308716918317595,507.383366562233,456.4954954954955,307.9293893129771,285.6463157894737,383.0,297.0,214.0,177.0,0.11962403873540302,0.17671517671517672,0.24618320610687022,0.27578947368421053,0.22614639703788095,0.33125433125433124,0.43416030534351147,0.5052631578947369,0.4679578467673028,0.5758835758835759,0.7204198473282443,0.7810526315789473,0.65856778096066,0.6341505172805165,0.731173241032509,0.7090024720340038,IDPP,4,0.8622366921123307,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.4944059287398678,True
0,,,,,,2339556.9963403475,2691784.225433526,1087080.875,1408827.065408805,1529.5610469478972,1640.665787244168,1042.6317063086083,1186.940211387585,-3.365808125329613,-32.84426828017868,-3.36365381747998,-13.19645241349049,1119.5260750228729,1249.5592485549132,689.0233516483516,791.4251572327044,852.5,1032.0,385.0,447.0,0.07502287282708142,0.03106936416184971,0.13873626373626374,0.09182389937106918,0.15416285452881975,0.06936416184971098,0.2733516483516483,0.19874213836477989,0.2822506861848124,0.171242774566474,0.4835164835164835,0.43018867924528303,0.5163101956058653,0.39477146208786484,0.6336674483697707,0.5758330293562558,PROACT,3,0.7774551731282239,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.12473047378928967,False
1,,,,,,2310175.2118023788,2764167.452312139,1130600.7376373627,1445471.5798742138,1519.9260547152874,1662.5785552304405,1063.2971069448852,1202.277663384883,-3.3109792693225986,-33.75435510152123,-3.5383469972617805,-13.565711436543603,1114.417657822507,1265.924132947977,698.7651098901099,800.9786163522012,848.5,1036.0,388.0,447.0,0.07548032936870998,0.029985549132947976,0.14148351648351648,0.0880503144654088,0.1546203110704483,0.07153179190751445,0.2760989010989011,0.20125786163522014,0.2799634034766697,0.17160404624277456,0.47802197802197804,0.4276729559748428,0.5193850256176477,0.39579760882972476,0.6336182767228988,0.5766957956005265,PROACT,3,0.7774551731282239,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,2.6674574591455764,False
2,,,,,,2337419.5942360475,2705227.2861271678,1078990.184065934,1399786.8981132077,1528.8621894193236,1644.7575159053592,1038.7445230016542,1183.125901209676,-3.361819555062402,-33.01329020560774,-3.331176956565205,-13.10535655937677,1118.7790484903935,1252.0043352601156,688.0384615384615,789.4062893081762,849.0,1031.0,383.0,446.0,0.07639524245196706,0.032153179190751446,0.14148351648351648,0.09559748427672957,0.15187557182067704,0.06972543352601156,0.27197802197802196,0.20125786163522014,0.28133577310155533,0.171242774566474,0.4835164835164835,0.4289308176100629,0.5150984481923511,0.3965909444445461,0.633495347605719,0.5766402867428988,PROACT,3,0.7774551731282239,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.01052594868979971,False
3,,,,,,2296598.068618481,2889752.9403901733,1120277.3173076923,1493757.7911949686,1515.4530902071767,1699.927333855825,1058.4315364291128,1222.193843543228,-3.285643189832445,-35.333363147727326,-3.4969077321923656,-14.052281376938614,1115.3897529734675,1290.8638005780347,700.4574175824176,807.5320754716981,861.5,1043.0,389.5,437.0,0.07227813357731015,0.032153179190751446,0.13324175824175824,0.09056603773584905,0.15096065873741996,0.06900289017341041,0.26785714285714285,0.1949685534591195,0.2758462946020128,0.1773843930635838,0.4793956043956044,0.4427672955974843,0.5259582944361855,0.39951265219324816,0.6370451622664347,0.5816313260273104,PROACT,3,0.7774551731282239,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,24.580300161477677,True
4,,,,,,2335540.8956999085,2708274.651734104,1078530.7912087913,1386258.8855345913,1528.2476552247376,1645.6836426646842,1038.523370564568,1177.3949573251073,-3.3583137471906763,-33.05160526005172,-3.3293329066505244,-12.969037637390628,1118.163769441903,1252.262283236994,687.7142857142857,785.7006289308176,845.0,1031.0,383.0,445.0,0.07593778591033852,0.03251445086705202,0.14148351648351648,0.09559748427672957,0.15233302836230558,0.07117052023121387,0.27197802197802196,0.20628930817610064,0.2808783165599268,0.17196531791907516,0.4835164835164835,0.4289308176100629,0.5154409805265654,0.3967492455533859,0.6334821090854074,0.5765594024074985,PROACT,3,0.7774551731282239,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.0013706859653339878,False
0,0.4228517846555483,10.0,0.10113231069171438,3.0930924690552137,1.5528833190894193,1261836.5899309784,3725493.3665271965,910996.3409220262,1430659.1317204302,1123.315000314239,1930.153715776854,954.4612830922091,1196.1016393770349,-0.35487639904022217,-0.20057082176208496,-3.302668571472168,-1.4338319301605225,972.5812694545947,1360.4979079497907,836.2225384177575,918.0618279569892,895.0,944.0,743.0,711.5,0.0004060089321965083,0.0008368200836820083,0.0,0.0,0.0037894167005007445,0.005857740585774059,0.0022766078542970974,0.008064516129032258,0.04357829205575856,0.07698744769874477,0.05293113261240751,0.12903225806451613,0.5,0.5,0.5,0.5,ArQ,1,0.9155286968574018,148.64563512802124,classes+decay,XGBoostCox,26,8584,2024-11-28 21:44:25,,False
1,0.10141520882110981,4.0,3.5210511977261727,4.027997994883632,5.434285666633234,6180278.764785492,9461521.31129707,231107.3232783153,387671.92204301077,2486.0166461199515,3075.958600387377,480.7362304614822,622.6330556941309,-5.635974077117126,-2.0490528560155,-0.0915282681211167,0.3404939282913718,2110.2810935173907,2308.04769874477,403.9311326124075,450.7231182795699,2401.0,2141.0,393.0,362.0,0.01705237515225335,0.038493723849372385,0.07171314741035857,0.12365591397849462,0.03857084855866829,0.07447698744769875,0.1622083096186682,0.239247311827957,0.10488564081743132,0.15648535564853555,0.43767785998861697,0.49731182795698925,0.27239495562806043,0.3026472052215001,0.7822701413436732,0.7603704348330578,ArQ,1,0.9155286968574018,148.64563512802124,classes+decay,XGBoostCox,26,8584,2024-11-28 21:44:25,,True
